epoch,train_loss,val_loss,psnr,ssim,lr
1,34.60093977784598,18.110652173006976,20.631647756352322,0.5358748842330997,0.0001
2,29.26939997442307,18.313799690317225,20.51813312720582,0.5516225192179783,0.0001
3,27.564412822390114,17.15667794810401,20.863777314853426,0.5532243303406541,0.0001
4,25.86708308060964,17.26690736523381,20.76134369731674,0.5530497877733305,0.0001
5,24.345198043700186,17.49057725182286,20.649974445814042,0.549675321280763,0.0001
6,22.961261239359455,17.646502640512253,20.51361082064825,0.5478692787016761,0.0001
7,21.900288730026574,17.9912326335907,20.352709345060095,0.5438442947043808,0.0001
8,20.943732431370726,18.37430716002429,20.108386390544528,0.5365186832747294,0.0001
9,20.15046615600586,19.126753643706994,19.832350374137334,0.5310428909570656,0.0001
10,19.469658016902144,18.48394512688672,20.069398710519977,0.5298202246622803,0.0001
Best epoch3,27.564412822390114,17.15667794810401,20.863777314853426,0.5532243303406541,0.0001
